sentiment,text
pos,สินค้าใช้แล้วดีมากไม่ทำให้ลูกแพ้เลยแถมราคาถูกกว่าในห้างและตามร้านค้าอีก
pos,ใช้งานดีมากส่งของก็เร็วของครับ
pos,ส่งไวมาก สั่งตอนเย็น ตอนเช้าได้แล้ว สินค้าแพ็คมาดีมาก ใช้งานได้ปกติไม่มีปัญหาอะไร ถือว่าคุ้มค่าสุดๆครับ
pos,วัสดุค่อนข้างดีนับว่าคุ้มราคาครับ
neg,สินค้าไม่เหมือนในรูป ผิดหวังมาก เย็บไม่ดีเลย
neg,ใช้แล้วสิวขึ้นเต็มเลยไม่รู้แพ้รึเปล่า....เซ็งเลยเหลือตั้งเยอะเสียดายมาก
neg,คุณภาพแย่มากใช้งานไม่ได้แม้แต่ครั้งเดียว
neg,ผิดหวังมาก ไม่แนะนำให้ใช้ค่ะ
neg,สรุปแพงกว่าท้องตลาดคะแย่มากเสียความ
neg,รู้สึกผิดหวังมาก ไม่ใช่แบบที่หวังไว้เลยย
neg,แย่มากๆๆๆๆ ไม่ส่งของแถมมาให้ตามที่โฆษณา
neg,งานไม่ค่อยดี ไม่สมกับราคา
neg,แย่มากเลย นมใกล้หมดอายุ ครั้งนี้ครั้งสุดท้ายนะคะที่จะสั่ง
neg,ใช้ได้ไม่กี่เดือนก็พังล่ะยังใช้ไม่คุ้มกับราคาที่ซื้อมาเลย
pos,ใส่สบายสั่งหลายรอบแล้วจร้าาา
pos,ส่งของรวดเร็วดี คุณภาพใช้ได้ค่ะ
pos,ใช้งานได้ดีราคาไม่แพงมาก
pos,ชอบที่ส่งเร็วมากครับ ทันใจดีจิงๆ
pos,รับของไว พนักงานส่งของดีมาก คุณภาพคุ้มราคา
pos,ดีครับ คุ้มค่าคุ้มราคา น่าจะใช้งานได้ทนทานมือใหม่น่าเอามาใช้ครับ
pos,คุณภาพพอใช้ได้ ดูบอบบางจัง ต้องดูระยะการใช้งานระยะยาวค่ะรวม ๆ ถือว่าโอเคค่ะ
pos,สินค้าแพคอย่างดี ที่สำคัญส่งขอเร็วมาก คิดว่าจะได้ช้าเสียอีก
pos,ส่งของไวมาก แต่ราคาขึ้นลงบ่อยมา ต้องเข้ามาเช็คราคาบ่อยๆ ว่าวันไหนจะราคาถูก แต่คุ้มแน่นอนค่ะ เลือกซื้ออันนี้ไม่ผิดหวังค่ะ
pos,ได้รับของเร็วมาก กระทะร้อนเร็ว ทำอาหารได้หลายอย่างเลยค่ะ ชอบมาก
neg,เสียดายที่ไว้ใจใช้บริการผิดหวังมาก เอาสินค้าของคุณคือไปเถอะ แล้วคืนเงินให้เรา สั่งของก็บ่อยต่อไปไม่สั่งแล้ว แย่มากๆๆๆๆๆๆๆๆๆๆๆๆๆๆ
neg,แย่มากอย่าสั่งนะ
neg,แย่มาก รูปดูสวยหรูดีนะ แต่มาเจอของจริงนี่แย่สุดๆ สินค้าไม่สมกับราคาเลย
neg,แย่มากเสียดายเงิน
neg,สินค้ามีรอยตำหนิ เป็นรอยง่าย
neg,สินค้าคุณภาพแย่มาก วัสดุเหมือนหมดอายุแล้ว
neg,สินค้าส่งมาแตกหัก ยังไม่ได้ประกอบเลย เสียความรู้สึก
neg,ซื้อแล้วผิดหวังสินค้าไม่มีคุณภาพ
neg,แย่มาก บิดน้ำไม่แห้ง เสียดายตังมาก
neg,ตกใจมาก โคตรแย่ ก่อนหน้านี้ใช้ดี ชอบมาก ปลอดภัยดี ตอนระเบิดมีกลิ่นไหม้กับประกายไฟ ไม่เป็นแผลแต่เป็นดำๆ ที่มือ แสบเล็กน้อย
pos,สินค้าใช้ดีสีสดใช้จนถึงทุกวันนี้
pos,ร้านนี้ ขายสินค้าตรงตามประกาศ ส่งตามกำหนด สินค้าใช้งานดี
pos,ถูกกว่าในห้างเยอะเลยครับ ภาพชัด สินค้าใหม่ พนักงานบริการดีมาก สั่งสินค้ากับลาซาด้าไม่เคยผิดหวังเลยครับ
pos,แรงดี หน้าจอใหญ่ ส่งของเร็ว พอใจครับ
pos,จอใหญ่มาก คุณภาพเสียง ชัดเจนดีมาก โดยรวมแล้วคุ้มค่ามาก
pos,พกพาสะดวก ได้ของเร็ว
pos,โอเคมาก เป็นอย่างที่คาดหวังไว้ เยี่ยม
pos,ได้สินค้าภายในสองวัน OK นะครับ สมราคา ใช้งานได้ปกติ
pos,ดีมากๆๆคะ ได้เร็ว แพ๊คดี สินค้าสภาพดี ราคาถูก ไม่ต้องไปเดินช๊อปเอง ดีคะ
pos,ส่งของรวดเร็วมาก สินค้าใหม่ด้วย โดยรวมให้คะแนนเต็มครับ
neg,ไม่พึงพอใจเลย สินค้าผลิตจากพลาสติกด้อยคุณภาพ ก๊องแก๊งมาก
neg,แพ็คของไม่ดีมากเลยครับข้างในกล่องฉีกขาดไม่สวยเลย
neg,คุณภาพสินค้าไม่น่าประทับใจ
neg,วัสดุแย่ ขาดง่าย เสียดายเงิน
neg,อย่าขายเลย ยกเลิกโปรนี้เถอะ เสียความรู้สึก ดูมาหลายเดือนละ
neg,แบตแย่มากค่ะ หมดเร็วมาก รับประกันไม่ได้ชวยอะไรเลย
neg,เห็นแล้วรู้สึกแย่ ไม่มั่นใจในสินค้าร้านนี้
neg,คุณภาพแย่มากค่ะ ใช้ครั้งแรกมีกลิ่นไหม้ออกมาเลยแถมข้าวไม่สุกด้วย
neg,เสียเวลามากๆ กว่าจะทำเรื่องคืนเงินได้ ของก็ต้องใช้ ต้องไปซื้อใหม่ เสียเงินซ้ำอีก ระบบการทำงานแย่มาก มันเหมือนกันมากเลยหรือ ส่งผิดรุ่นได้
neg,หลอกลวง ต้มตุ๋น เอาของปลอมมาขาย ร้านโจร
pos,ส่งเร็วทันใช้ตามความต้องการ
pos,เนื้อผ้าดีแต่ไม่หนา เซ็กซี่ดีแต่ไม่โป๊ะ คุณภาพสมกับราคา
pos,ง่ายดีไม่ต้องหาซื้อให้ยุ่งยาก
pos,สมราคาค่ะ ภาพชัดเจน เทียบกับยี่ห้ออื่นราคาถูกกว่า
pos,สวยมาใช้งานง่ายมากที่สำคัญส่งเร็วมาก
pos,เสียงดี ส่งเร็ว ราคานี้คุ้มครับ
pos,ใช้ดียังไม่มีปัญหาอะไรค่ะชอบมาก
pos,สเป็คถือว่าโอเครเลยคับ ไหลลื่นดีไม่มีสดุด สมกับราคา และคุ้มค่ามากๆเลย
pos,ใช้ดีส่งของไว มากเจ้านี้ วัสดุคุณภาพจริงจริง
pos,แพคของเรียบร้อยดีค่ะ ส่งเร็ว ไว้จะสั่งอีกนะคะ☺
neg,เกรดต่ำเหมือนกับว่าเอาของถูกๆมาคละกัน
neg,สั่งซื้อแล้วอยู่ดีๆมายกเลิก เสียความรู้สึกเลยครับ
neg,ไม่เป็นไปตามที่โฆษณา ส่งสินค้าไม่ตรงตามกำหนด เมื่อสินค้ามีปัญหาไม่รับผิดชอบใด
neg,ไม่ซึมซับลูกอับชื้นโฆษณาเกินจริงเสียเงินฟรีไม่คุ้มแย่มาก
neg,ไม่มีคู่มือ แย่มากครับ กล่องก็ไม่มี ใส่ถุงมาให้ ทุเรศมากครับ
neg,สินค้าไม่ตรงปก ของคุณภาพร้อยกว่าบาท แย่ๆ
neg,แย่มากๆสั่งของจ่ายเงิน แต่ไม่ได้ของ!
neg,ใช้ได้แป็บเดียวพังแล้ว
neg,สินค้าชำรุด ส่งมาถึงแกะดู สินค้าแตก
neg,ซื้อมายังไม่ทันเล่นเลยพังซะแล้ว
pos,ผ้านิ่ม เด้งๆ ดีกว่าที่คิดไว้ ชอบคะ
pos,โอเครค่ะได้สินค้าตามรูปผ้าใส่สบาย
pos,เสื้อสวยถูกใจค่ะส่งเร็วทันใจดี
pos,คุณภาพเหมาะสมกับราคา ใช้งานOK ต่อดูภาพจากคอมชัดมาก จัดส่งเร็วดี
pos,เนื้อผ้าดีมากๆๆๆๆเกินราคา กำลังจะสั่งเพิ่มอีก ช้าหน่อยแต่ได้มาไม่ผิดหวังเลยค่ะ
pos,ใช้ดี ราคาไม่แพงเกินค่ะ พอใจมาก
pos,ใช้ดีมากค่ะ ช่วยให้หน้าตึงขึ้น หน้าไม่เหี่ยว เราใช้มาตลอดค่ะ สั่งอีกแน่
pos,จากการพิสูจน์เป็นหนังแท้ เลือกไม่ผิด งานเย็บละเอียด ชอบครับ
pos,แพ็คสินค้าดี สินค้าคุณภาพ สมราคา แฟนประทับใจครับ
pos,ส่งของได้เร็วมาก สินค้าใช้ได้ดีไม่มีปัญหา คุ้ม
neg,เสียความรู้สึกค่ะมาไม่ตรงที่สั่ง
neg,มันผิดพลาดอะไรหรือลงรูปเพื่อหลอกให้คนสั่งซื้ออธิบายหน่อย
neg,สินค้าคุณภาพไม่ค่อยดี
neg,สินค้ามีตำหนิ แย่มากๆ ไม่ไหวๆเลย ถ้ามีตำหนิก็บอกด้วยครับ จะได้ทำใจก่อนซื้อ
neg,เปราะบางมากความแข็งแรงน้อย มันง่ายต่อการแตกหัก
neg,ขนส่งก็ช้าสินค้ามีตำหนิแพ็คสินค้าไม่ดีมีรอยบุบ
neg,สินค้าเหมือนของปลอม เนื่อครีมเหมือนซอง 10 บาท บรรจุภัณฑ์เหมือนก๊อปมา ไม่เหมือนของจริงในห้างเลย เสียดายตังค์ ซื้อมาทิ้ง
neg,รายการไม่ดี ที่จับไม่ดีและสั้น
neg,เลว
neg,โลเล
neg,ว่ายาก
neg,วิปโยค
neg,วิประโยค
neu,วิเวก
neg,สลัว
neg,สวก
neg,สวะ
neg,สะเหล่อ
neu,สั้น
neg,สันหลังยาว
neg,สับปลับ
neg,สัพเพเหระ
neg,สิ้นคิด
neg,สูญ
neg,เสีย
neg,เสื่อมโทรม
neg,เสื่อมเสีย
neg,โสโครก
neg,โสมม
neg,หงุดหงิด
neg,หน้าด้าน
neu,หนาว
neg,หมองมัว
neg,หมิ่น
neg,หยาบ
neg,หยอก
neu,หรี่
neg,หลง
neg,ห่วย
neg,หวิว
neu,หวะ
neg,หึง
neg,หัวสูง
neg,เหงา
neg,เหม็น
neg,เหี้ย
neg,เหียก
neg,เหี้ยมโหด
neg,แหย
neg,โหดร้าย
neg,โหดเหี้ยม
neg,ไหม้
neg,อกตัญญู
neg,อกแตก
neu,อลัชชี
neg,อ้วก
neu,อ้วน
neu,อ๋อง
neg,อ่อนเพลีย
neg,อื้อฉาว
neg,เอน
neg,ฆ่า
neg,ตัด
neg,ข่ม
neg,ข่มขืน
neg,ขโมย
neg,ตาย
neg,ตก
neg,ล้ม
neg,เสียใจ
neg,กดดัน
neg,กัก
neg,กดขี่
neg,กักขัง
neg,กระชาก
neg,กระวนกระวาย
neg,กระแทก
neg,กระทืบ
neg,ก่อกวน
neg,ก่อกรรมทำเข็ญ
neg,กระทำชำเรา
neg,กระทำอนาจาร
neg,กระแทกกระทั้น
neg,กระตุกหนวดเสือ
neg,กระอัก
neg,กระหึ่ม
neu,กริ่งใจ
neg,โกหก
neg,กราดเกรี้ยว
neg,กวาดล้าง
neg,กรรโชก
neg,กดราคา
neg,ร้องไห้
neg,กลัว
neg,กลั่นแกล้ง
neg,เศร้า
neg,ร้องไห้
neg,แพง
neg,กำเริบ
neg,แกว่ง
neg,ขัดใจ
neg,กล่าวหา
neg,ก้าวก่าย
neg,กำจัด
neg,กังขา
neu,กอบโกย
neg,กวน
neg,กวนตีน
neg,กัด
neg,กังวล
neg,เกร็ง
neg,เกรงกลัว
neg,เกรงใจ
neg,เกลียด
neg,เกลื่อน
neg,โกหก
neg,แก่งแย่ง
neg,ข่มขวัญ
neg,ข่มขี่
neg,ข่มขู่
neg,ขวาง
neg,ขัดขืน
neg,ขัดข้อง
neg,ขัดขวาง
neg,ร้องเรียน
neg,ขัง
neg,ขาดแคลน
neg,ขาดทุน
neg,ขายชาติ
neg,ขายขี้หน้า
neg,ขายหน้า
neg,ขาลง
neg,ขี้
neg,ขีดฆ่า
neg,ขี้โม้
neg,ขืน
neg,ขืนใจ
neg,ขู่
neg,ขู่เข็ญ
neg,ขูดรีด
neg,เขี่ย
neg,เขวี้ยง
neg,คต
neg,คดโกง
neg,คดงอ
neg,ครอบงำ
neg,คลื่นไส้
neg,คลาดเคลื่อน
neg,คว้าน้ำเหลว
neg,คว่ำ
neg,คว่ำบาตร
neg,คอร์รัปชัน
neg,คะนอง
neu,คับคั่ง
neu,คัด
neg,คัดค้าน
neg,ค้าง
neg,ค้างคา
neg,ค้างคาใจ
neg,คาใจ
neu,คุกเข่า
neg,คุ้มเกรง
neg,คุมขัง
neg,คุมตัว
neg,เค้น
neg,เคร่ง
neg,เคร่งเครียด
neg,เคราะห์ซ้ำกรรมซัด
neg,เคือง
neg,แค้น
neg,ใคร่ครวญ
neg,ฆ่าแกง
neg,ฆาต
neg,ฆ่าตัดตอน
neg,ฆ่าฟัน
neg,ฆ่าไม่ตายขายไม่ขาด
neg,ฆ่ายกครัว
neg,ฆ่าล้างโคตร
neg,เฆี่ยน
neg,งง
neg,งงงวย
neg,งก
neg,งด
neg,เงี่ยน
neg,จน
neg,จม
neg,จำโซ่
neu,จิก
neu,จำนำ
neg,จิตตก
neu,จับกุม
neg,จำกัด
neg,เจ็บ
neg,เจ็บไข้
neg,เจ็บใจ
neg,ฉ้อ
neu,ฉี่
neu,ฉีก
neu,ชก
neg,ชดใช้
neu,ช่วงชิง
neu,ช็อก
neg,ชะงัก
neg,ชะลอ
neg,ชัก
neg,ชักกระตุก
neg,ชักใย
neg,ชัง
neg,ช้ำใจ
neg,ชิง
neg,ชิงชัง
neg,ชิงดีชิงเด่น
neg,ชิงนรกเกิด
neg,ชิงสุกก่อนห่าม
neg,ชิงหมาเกิด
neg,ซ่อน
neg,ซึม
neg,ซึมซาบ
neg,ซ้ำเติม
neg,ซุก
neu,ซุกซ่อน
neg,แซว
neg,แซะ
neu,ไซ้
neg,เณรคุณ
neg,ด้อย
neu,ดัดสันดาน
neg,ดับ
neg,ด่า
neg,ด่าทอ
neg,ดิ้น
neu,ดื้อ
neg,ดุ
neg,ดูแคลน
neg,ดูถูก
neg,ดูหมิ่น
neg,ดูหมิ่นถิ่นแคลน
neu,เดา
neg,เดือด
neg,เดือดดาล
neg,เดือดร้อน
neg,แดก
neg,แดกดัน
neg,โดน
neg,ได้เสีย
neu,ตก
neg,ตกงาน
neg,ตกใจ
neg,ตกนรกทั้งเป็น
neg,ตกหลุม
neg,ตกหลุมพราง
neg,ตั้งแง่
neg,ตายดาบหน้า
neg,ตรม
neg,ตบ
neg,ตบตา
neg,ตราหน้า
neg,ต่อต้าน
neg,ตอบโต้
neu,ต่อย
neu,ต่อสู้
neg,ตอแหล
neg,ตะลุมบอน
neg,ตัดขาด
neu,ต้าน
neg,ตาย
neg,ตายด้าน
neg,ตาลาย
neg,ตำหนิ
neg,ติ
neg,ติเตียน
neg,ติดเชื้อ
neg,ติดขัด
neg,ตัดพ้อ
neg,ตัดพ้อต่อว่า
neg,ตี
neu,ตีกิน
neg,ถอน
neg,ถีบ
neg,ทรยศ
neg,ถึงฆาต
neg,ทรุด
neg,ท่วม
neg,ท้อ
neg,ทะลึ่ง
neg,ทักท้วง
neg,ทุบ
neg,ทุบตี
neg,เท
neg,เทกระจาด
neg,แทง
neg,แทงใจดำ
neg,นอกใจ
neg,เนรคุณ
neg,บกพร่อง
neg,บด
neg,บ่น
neu,บ่อน
neg,บ่อนทำลาย
neu,บาด
neg,บาดหมาง
neg,บานปลาย
neu,บิด
neg,บิดเบือน
neu,เบน
neg,เบียด
neg,เบียดเบียน
neg,เบื่อ
neg,เบื่อหน้า
neg,โบ้ย
neg,ปฏิเสธ
neu,ปด
neu,ปน
neg,ประจาน
neg,ประจาร
neg,ประชด
neg,ประชดประชัน
neg,ประณาม
neg,ประท้วง
neg,ประมาท
neg,ปรับ
neg,ปราบ
neg,ปราบปราม
neg,ปลงใจ
neg,ป่วย
neg,ปลงชีวิต
neg,ปลง
neg,ปล้น
neg,ปล้นสะดม
neg,ปลอม
neg,ปรำ
neg,ปวด
neg,ปลอมปน
neu,ปะทะ
neu,ปะปน
neg,ปาด
neg,เป็นลม
neg,เปลือง
neg,โป๊
neu,ผลัก
neu,ผัด
neg,ผัดวันประกันพรุ่ง
neg,ผ่า
neg,เผ่น
neg,ลืม
neg,หลบหนี
neg,ความขมขื่น
neg,ความขมุกขมัว
neg,ความขุ่นเคือง
neg,ความข้องใจ
neg,ความฉิบหาย
neg,ความชั่วช้า
neg,ความซ้ำซ้อน
neu,ความดื้อ
neg,ความทรุดโทรม
neg,ฟุ่มเฟือย
neg,ฟุ้งเฟ้อ
neg,กระจุกกระจิก
neu,กระดาน
neg,แก่
neg,เกรียน
neg,คลุมเครือ
neg,คลุมถุงชน
neg,เกเร
neu,เกิน
neg,ช้า
neg,วิกฤติ
neg,เจ็บปวด
neg,ความลึกลับ
neg,เผด็จการ
neg,ขัดแย้ง
neu,องควิการ
neg,รังเกียจ
neg,อกหัก
neg,ไร้สาระ
neg,คงขาด
neg,คบชู้
neg,ครหา
neg,คบชู้สู่ชาย
neg,กำกวม
neu,มืด
neu,ฮือ
neg,ลึกลับ
neg,กลุ้มใจ
neg,น่ากลัว
neg,เกียจคร้าน
neg,ขวางโลก
neg,เศร้าใจ
neg,ไม่มีทางรักษา
neg,สิ้นหวัง
neg,ไร้ผล
neg,อัมพาต
neg,เศร้าซึม
neg,สลดใจ
neg,ท้อแท้
neg,น่าเบื่อ
neg,กระสับกระส่าย
neg,ขัดสมาธิ
neg,ขุ่น
neg,คมคาย
neg,กระเซอะกระเซิง
neg,เคร่งขรึม
neg,คระหาย
neu,กระหาย
neu,คระเมิม
neg,เครียด
neg,คบไม่ได้
neu,งอ
neg,งอแง
neg,โง่
neg,จังไร
neg,ไม่สน
neg,จัญไร
neu,เจือ
neg,เจือจาง
neg,ต่ำ
neg,ต่ำต้อย
neg,ฉูดฉาด
neg,ชั่ว
neg,ชู้สาว
neg,ซวย
neu,ซ้ำ
neg,ซ้ำซ้อน
neg,ซ้ำร้าย
neg,เซ่อ
neg,ดุดัน
neg,ดุร้าย
neg,ตกม้าตาย
neg,ทราม
neu,ทะลุ
neg,ทุเรศ
neg,เทียม
neu,นักเลง
neg,ลบ
neg,เบื่อ
neg,ปรัมปรา
neg,เท็จ
neg,ตอแหล
neg,ตาขาว
neg,ฉุนเฉียว
neg,เฉโก
neg,เฉื่อย
neg,ชะงัด
neg,ชู้สาว
neg,ซุกซน
neg,เซ
neg,เซ่อ
neg,เซา
neg,ดุร้าย
neu,เดียรดาษ
neg,ตกม้าตาย
neu,ตรงข้าม
neg,ตระหนี่ถี่เหนียว
neg,ตอแหล
neg,ตาขาว
neg,เตี้ย
neu,ถวัล
neg,ทรหด
neg,ทราม
neg,ทื่อ
neg,ทุเรศ
neg,เท็จ
neg,เทียม
neg,น้อย
neg,น่าย
neg,บิ่น
neg,บุ๋ม
neg,เบี่ยง
neg,เบื่อ
neg,ป้อ
neg,ปากเสีย
neg,ปากหมา
neu,ปาราชิก
neg,เป็นลม
neg,เปล่าเปลี่ยว
neg,เปื่อย
neg,แปร่ง
neu,ผรุส
neg,ผิด
neg,ผิดหวัง
neg,เผ็ดร้อน
neu,เผล
neu,แผลง
neg,พด
neg,พล่าน
neg,พิการ
neu,ฟก
neg,เพี้ยน
neg,แพง
neg,แฟบ
neg,มัวหมอง
neg,โมเม
neg,ยับ
neu,ยืด
neg,ยุ่งเหยิง
neg,รกเรื้อ
neg,ร่อแร่
pos,รัดกุม
neg,ร้าย
neg,ร้ายกาจ
neu,ริบ
neg,รุนแรง
neg,รุกรุย
neg,รุ่ยร่าย
neg,ล้ม
neg,ลัก
neg,ล้าสมัย
neg,ลำบาก
neg,ล้ำ
neg,โลเล
neg,ยาก
neg,วิปโยค
neg,วิประโยค
neg,วิเวก
neg,สลัว
neg,สวก
neg,สวะ
neg,สะเหล่อ
neu,สั้น
neg,สันหลังยาว
neg,สับปลับ
neg,สัพเพเหระ
neg,สิ้นสติ
neg,สูญ
neg,โทรม
neg,เสีย
neg,เสื่อมโทรม
neg,เสื่อมเสีย
neg,โสโครก
neg,โสมม
neg,หงุดหงิด
neg,หน้าด้าน
neu,หนาว
neg,หมองมัว
neg,หมิ่น
neg,หยาบ
neg,หยอก
neu,หรี่
neg,หลง
neg,ห่วย
neg,หวิว
neu,หวะ
neg,หึง
neg,หัวสูง
neg,เหงา
neg,เหม็น
neg,ไม่เชื่อ
neg,เหี้ย
neg,บรรลัย
neg,เหียก
neg,เหี้ยมโหด
neg,แหย
neg,โหดร้าย
neu,ทำสงคราม
neg,ทำอันตราย
neg,ทำเป็นทองไม่รู้ร้อน
neg,ทำเป็นเล่น
neg,ทำเล่นๆ
neg,ทำโดยพลการ
neg,ทำเอาเจ็บ
neg,ทิ้งขว้าง
neg,ทิ้งๆ ขว้างๆ
neg,ไม่รู้คุณ
neg,ไม่รู้จบรู้สิ้น
neg,ทำใจไม่ได้
neg,ดูไม่ได้
neg,ด่า
neg,ด่ากลับ
neg,ไม่รู้ไม่ชี้
neg,ไม่ลงตัว
neg,วุ่นวาย
neg,วุ่นวายใจ
neg,ก่อความวุ่นวาย
neg,สับสนวุ่นวาย
neg,สับสน
neg,ไม่รู้สึกตัว
neg,ไม่ลงรอย
neg,ไม่ลงรอยกัน
neg,ไม่สบายใจ
neg,ไม่สมบูรณ์
neg,ไม่สมฐานะ
neg,ไม่สม่ำเสมอ
neg,ไม่สมควร
neg,ไม่อร่อย
neg,ไม่เข้ากัน
neg,ไม่เจียมกะลาหัว
neg,ไม่เชื่อ
neg,ไม่เหมาะสม
neg,ไม่เห็นค่า
neg,ไม่เห็นด้วย
neg,ละเลย
neg,มีโทษ
neg,มอมเมา
neg,มอมเหล้า
neg,มากเกินไป
neg,มีความผิด
neg,มีปัญหา
neg,ไม่เอาไหน
neg,ไม่ได้เรื่อง
neg,ไม่ไว้วางใจ
neg,ไม่ไว้หน้าใคร
neg,ไม่ไว้ใจ
neg,ไม่ไหว
neg,อดไม่ไหว
neg,ทนไม่ไหว
neg,สละสิทธิ์
neg,ขับไล่
neg,ขับไล่ไสส่ง
neg,ไล่ออก
neg,เมื่อย
neg,ทำร้าย
neg,ไม่สวย
neg,ไม่สะไม่สวย
neg,โหดเหี้ยม
neg,ไหม้
neg,อกตัญญู
neg,อกแตก
neg,อลัชชี
neg,อ้วก
neu,อ้วน
neg,ทำมิดีมิร้าย
neg,ทำลายขวัญ
neg,ทำลายล้าง
neu,อ๋อง
neg,อ่อนเพลีย
neg,อื้อฉาว
neu,เอน
neg,ฆ่า
neg,ตัด
neg,ข่ม
neg,ข่มขืน
neg,ขโมย
neg,ตาย
neg,ตก
neg,ทุจริต
neg,ล้ม
neg,เสียใจ
neg,กดดัน
neu,กัก
neg,กดขี่
neg,กักขัง
neg,กระชาก
neg,กระวนกระวาย
neu,กระแทก
neg,กระทืบ
neg,ก่อกวน
neg,ก่อกรรมทำเข็ญ
neg,กระทำชำเรา
neg,กระทำอนาจาร
neg,กระแทกกระทั้น
neg,กระตุกหนวดเสือ
neg,กระอัก
pos,กระหึ่ม
neg,โกหก
neg,กราดเกรี้ยว
neu,กวาดล้าง
neg,กรรโชก
neg,กดราคา
neg,ร้องไห้
neg,กลัว
neg,กลั่นแกล้ง
neg,เศร้า
neg,ร้อนตัว
neg,ร้าว
neg,ร้าวราน
neg,ลดเกียรติ
neg,ลาตาย
neg,ลำบากใจ
neg,ล่มจม
neg,ล่มสลาย
neg,ล่วงประเวณี
neg,ล่วงละเมิด
neg,ล่อแหลม
neg,กำเริบ
neu,แกว่ง
neg,ขัดใจ
neg,กล่าวหา
neg,ก้าวก่าย
neu,กำจัด
neu,กังขา
neu,กอบโกย
neg,กวน
neg,กวนตีน
neu,กัด
neg,กังวล
neg,ไฟไหม้
neg,น้ำท่วม
neg,สึนามิ
neg,ทำบาป
neg,ทำบาปทำกรรม
neg,ไอ้เวร
neg,ไอ้บ้า
neu,ไอ้
neg,คิดมาก
neg,คิดมิดีมิร้าย
neg,คิดร้าย
neg,ถุย
neg,ถุยน้ำลาย
neg,เกร็ง
neg,เกรงกลัว
